Frame,Track_ID,Gender,Direction
16,1537,Unknown,Left_to_Right
125,1534,Unknown,Left_to_Right
127,1538,Unknown,Left_to_Right
439,1606,Unknown,Left_to_Right
548,1634,Unknown,Left_to_Right
659,1613,Unknown,Left_to_Right
762,1669,Unknown,Left_to_Right
780,1671,Unknown,Left_to_Right
795,1622,Unknown,Left_to_Right
1159,1713,Male,Left_to_Right
1382,1756,Unknown,Left_to_Right
1471,1873,Unknown,Left_to_Right
1477,1831,Unknown,Left_to_Right
1480,1785,Unknown,Left_to_Right
1490,1874,Unknown,Left_to_Right
1601,1889,Unknown,Left_to_Right
1773,1923,Unknown,Left_to_Right
1822,1892,Unknown,Left_to_Right
1993,1946,Unknown,Left_to_Right
2000,1980,Unknown,Left_to_Right
2010,1925,Unknown,Left_to_Right
2076,1943,Unknown,Left_to_Right
2371,1999,Unknown,Left_to_Right
2502,2018,Unknown,Left_to_Right
2900,2113,Unknown,Left_to_Right
3195,2136,Unknown,Left_to_Right
3634,2184,Unknown,Left_to_Right
3635,2186,Unknown,Left_to_Right
3715,2255,Unknown,Left_to_Right
4198,2326,Unknown,Left_to_Right
4358,2406,Unknown,Left_to_Right
4366,2420,Unknown,Left_to_Right
4471,2434,Unknown,Left_to_Right
4558,2475,Unknown,Left_to_Right
4566,2445,Female,Left_to_Right
4590,2471,Unknown,Left_to_Right
4615,2478,Unknown,Left_to_Right
4821,2503,Unknown,Left_to_Right
5429,2566,Unknown,Left_to_Right
5501,2633,Unknown,Left_to_Right
5646,2616,Unknown,Left_to_Right
5766,2653,Unknown,Left_to_Right
6148,2789,Unknown,Left_to_Right
6325,2809,Unknown,Left_to_Right
6471,2847,Unknown,Left_to_Right
6514,2840,Male,Left_to_Right
6547,2862,Unknown,Left_to_Right
7150,2959,Unknown,Left_to_Right
7206,2974,Unknown,Left_to_Right
7423,3028,Male,Left_to_Right
